code_insee,pop,nom,nom_court,nom_tres_court
42231,1215,Saint-Germain-Lespinasse,St-Germain-L.,St-Germain
42232,627,Saint-Haon-le-Châtel,St-Haon-le-C.,St-Haon
42233,942,Saint-Haon-le-Vieux,St-Haon-le-V.,St-Haon
42234,3646,Saint-Héand,St-Héand,St-Héand
42235,328,Saint-Hilaire-Cusson-la-Valmitte,St-Hilaire-C.-la-V.,St-Hilaire
42236,592,Saint-Hilaire-sous-Charlieu,St-Hilaire-sous-C.,St-Hilaire
42237,6395,Saint-Jean-Bonnefonds,St-Jean-B.,St-Jean
42238,356,Saint-Jean-la-Vêtre,St-Jean-la-V.,St-Jean
42239,1150,Saint-Jean-Saint-Maurice-sur-Loire,St-Jean-St-M.-sur-L.,St-Jean
42240,866,Saint-Jean-Soleymieux,St-Jean-S.,St-Jean
42241,573,Saint-Jodard,St-Jodard,St-Jodard
42242,1947,Saint-Joseph,St-Joseph,St-Joseph
42243,279,Saint-Julien-d'Oddes,St-Julien-d'O.,St-Julien
42245,384,Saint-Julien-la-Vêtre,St-Julien-la-V.,St-Julien
42246,1258,Saint-Julien-Molin-Molette,St-Julien-M.-M.,St-Julien
42247,311,Saint-Just-en-Bas,St-Just-en-B.,St-Just
42248,1246,Saint-Just-en-Chevalet,St-Just-en-C.,St-Just
42249,1585,Saint-Just-la-Pendue,St-Just-la-P.,St-Just
42279,14425,Saint-Just-Saint-Rambert,St-Just-St-R.,St-Just
42251,601,Saint-Laurent-la-Conche,St-Laurent-la-C.,St-Laurent
42252,256,Saint-Laurent-Rochefort,St-Laurent-R.,St-Laurent
42253,1221,Saint-Léger-sur-Roanne,St-Léger-sur-R.,St-Léger
42255,287,Saint-Marcel-d'Urfé,St-Marcel-d'U.,St-Marcel
42254,793,Saint-Marcel-de-Félines,St-Marcel-de-F.,St-Marcel
42256,4291,Saint-Marcellin-en-Forez,St-Marcellin-en-F.,St-Marcellin
42257,910,Saint-Martin-d'Estréaux,St-Martin-d'E.,St-Martin
42259,3767,Saint-Martin-la-Plaine,St-Martin-la-P.,St-Martin
42260,1028,Saint-Martin-la-Sauveté,St-Martin-la-S.,St-Martin
42261,917,Saint-Martin-Lestra,St-Martin-L.,St-Martin
42262,1750,Saint-Maurice-en-Gourgois,St-Maurice-en-G.,St-Maurice
42264,969,Saint-Médard-en-Forez,St-Médard-en-F.,St-Médard
42265,793,Saint-Michel-sur-Rhône,St-Michel-sur-R.,St-Michel
42266,652,Saint-Nizier-de-Fornas,St-Nizier-de-F.,St-Nizier
42267,1708,Saint-Nizier-sous-Charlieu,St-Nizier-sous-C.,St-Nizier
42269,145,Saint-Paul-d'Uzore,St-Paul-d'U.,St-Paul
42268,311,Saint-Paul-de-Vézelin,St-Paul-de-V.,St-Paul
42270,1394,Saint-Paul-en-Cornillon,St-Paul-en-C.,St-Paul
42271,4246,Saint-Paul-en-Jarez,St-Paul-en-J.,St-Paul
42272,1650,Saint-Pierre-de-Boeuf,St-Pierre-de-B.,St-Pierre
42273,374,Saint-Pierre-la-Noaille,St-Pierre-la-N.,St-Pierre
42274,253,Saint-Polgues,St-Polgues,St-Polgues
42275,6305,Saint-Priest-en-Jarez,St-Priest-en-J.,St-Priest
42276,478,Saint-Priest-la-Prugne,St-Priest-la-P.,St-Priest
42277,307,Saint-Priest-la-Roche,St-Priest-la-R.,St-Priest
42278,137,Saint-Priest-la-Vêtre,St-Priest-la-V.,St-Priest
42280,383,Saint-Régis-du-Coin,St-Régis-du-C.,St-Régis
42281,160,Saint-Rirand,St-Rirand,St-Rirand
42282,291,Saint-Romain-d'Urfé,St-Romain-d'U.,St-Romain
42283,1182,Saint-Romain-en-Jarez,St-Romain-en-J.,St-Romain
42284,1605,Saint-Romain-la-Motte,St-Romain-la-M.,St-Romain
42285,3656,Saint-Romain-le-Puy,St-Romain-le-P.,St-Romain
42286,941,Saint-Romain-les-Atheux,St-Romain-les-A.,St-Romain
42287,1138,Saint-Sauveur-en-Rue,St-Sauveur-en-R.,St-Sauveur
42288,698,Saint-Sixte,St-Sixte,St-Sixte
42289,1835,Saint-Symphorien-de-Lay,St-Symphorien-de-L.,St-Symphorien
42290,596,Saint-Thomas-la-Garde,St-Thomas-la-G.,St-Thomas
42291,213,Saint-Thurin,St-Thurin,St-Thurin
42293,1144,Saint-Victor-sur-Rhins,St-Victor-sur-R.,St-Victor
42294,915,Saint-Vincent-de-Boisset,St-Vincent-de-B.,St-Vincent
42196,112,Sainte-Agathe-en-Donzy,Ste-Agathe-en-D.,Ste-Agathe
42197,1137,Sainte-Agathe-la-Bouteresse,Ste-Agathe-la-B.,Ste-Agathe
42209,413,Sainte-Colombe-sur-Gand,Ste-Colombe-sur-G.,Ste-Colombe
42210,448,Sainte-Croix-en-Jarez,Ste-Croix-en-J.,Ste-Croix
42221,492,Sainte-Foy-Saint-Sulpice,Ste-Foy-St-S.,Ste-Foy
42295,492,Les Salles,Les Salles,Les Salles
42296,557,Salt-en-Donzy,Salt-en-D.,Salt
42297,628,Salvizinet,Salvizinet,Salvizinet
42298,419,Sauvain,Sauvain,Sauvain
42299,3243,Savigneux,Savigneux,Savigneux
42300,668,Sevelinges,Sevelinges,Sevelinges
42301,661,Soleymieux,Soleymieux,Soleymieux
42302,7877,Sorbiers,Sorbiers,Sorbiers
42303,328,Souternon,Souternon,Souternon
42304,5824,Sury-le-Comtal,Sury-le-C.,Sury
42305,6595,La Talaudière,La Talaudière,La Talaudière
42306,463,Tarentaise,Tarentaise,Tarentaise
42307,810,Tartaras,Tartaras,Tartaras
